"State","Abbreviation","Population"
"Alabama","AL",5197720
"Alaska","AK",743756
"Arizona","AZ",7691740
"Arkansas","AR",3107240
"California","CA",39663800
"Colorado","CO",6013650
"Connecticut","CT",3707120
"Delaware","DE",1067410
"Florida","FL",23839600
"Georgia","GA",11297300
"Hawaii","HI",1450900
"Idaho","ID",2032120
"Illinois","IL",12778100
"Indiana","IN",6968420
"Iowa","IA",3264560
"Kansas","KS",2989710
"Kentucky","KY",4626150
"Louisiana","LA",4607410
"Maine","ME",1410380
"Maryland","MD",6309380
"Massachusetts","MA"
"Michigan","MI"
"Minnesota","MN"
"Mississippi","MS"
"Missouri","MO"
"Montana","MT",
"Nebraska","NE"
"Nevada","NV"
"New Hampshire","NH"
"New Jersey","NJ"
"New Mexico","NM"
"New York","NY"
"North Carolina","NC"
"North Dakota","ND"
"Ohio","OH"
"Oklahoma","OK"
"Oregon","OR"
"Pennsylvania","PA"
"Rhode Island","RI"
"South Carolina","SC"
"South Dakota","SD"
"Tennessee","TN"
"Texas","TX"
"Utah","UT"
"Vermont","VT"
"Virginia","VA"
"Washington","WA"
"West Virginia","WV"
"Wisconsin","WI"
"Wyoming","WY"
